,weekNum,partNum,realCount,backorder,done,product_qty,date_planned,backorderStatus,netQty
2484,9,TUBE-1-01-AC75801,0.0,False,False,7.0,2022-03-01 17:00:00,False,0.0
2485,10,TUBE-1-01-AC75801,0.0,False,False,,,,
2486,10,TUBE-1-01-AC75801,0.0,False,False,,,,
2487,11,TUBE-1-01-AC75801,0.0,False,False,,,,
2488,11,TUBE-1-01-AC75801,0.0,False,False,,,,
2489,12,TUBE-1-01-AC75801,0.0,False,False,,,,
2490,12,TUBE-1-01-AC75801,0.0,False,False,,,,
2491,1,CON-1-01-6026-141,0.0,True,False,4.0,2022-01-07 20:00:00,True,0.0
2492,7,CON-1-01-6026-141,0.0,True,False,,,,
2493,7,CON-1-01-6026-141,0.0,True,False,,,,
2494,7,CON-1-01-6026-141,0.0,True,False,,,,
2495,8,CON-1-01-6026-141,0.0,True,False,,,,
2496,8,CON-1-01-6026-141,0.0,True,False,,,,
2497,9,CON-1-01-6026-141,0.0,False,False,5.0,2022-03-01 20:00:00,False,5.0
2498,10,CON-1-01-6026-141,0.0,False,False,,,,
2499,11,CON-1-01-6026-141,0.0,False,False,,,,
